index,primary_length,k0,axfold,radfold,delta,nude_length,length,surface,Jv,i3,i4,i6,i8,seed
107,0.14,50,1.0,1.0,0.0014,0.029,2.4836,0.00195833113283,0.0279032156614,38,35,23,16,22154809
108,0.14,50,1.0,1.0,0.0014,0.034,1.9029,0.00154135080717,0.0218144167265,29,27,27,14,24428455
109,0.14,50,1.0,1.0,0.0018,0.009,1.9042,0.00154207211685,0.0218518336149,26,29,25,11,80719321
110,0.14,50,1.0,1.0,0.0018,0.014,1.3568,0.00115742933535,0.0166870766375,17,17,13,6,13782057
111,0.14,50,1.0,1.0,0.0018,0.019,1.11,0.000959570573387,0.013750955697,14,17,10,8,29840118
112,0.14,50,1.0,1.0,0.0018,0.024,1.8192,0.00149574996149,0.0212811917432,31,24,20,12,57335150
113,0.14,50,1.0,1.0,0.0018,0.029,1.5438,0.00128086125407,0.0183576090674,22,21,16,10,61482540
114,0.14,50,1.0,1.0,0.0018,0.034,1.6334,0.00135458438055,0.0194061344729,27,23,15,10,21676387
115,0.14,50,1.0,1.0,0.0022,0.009,1.4449,0.00121442159599,0.0174990978102,26,20,18,9,92665808
116,0.14,50,1.0,1.0,0.0022,0.014,1.2908,0.00110945344562,0.0159634210257,17,18,13,9,17005433
117,0.14,50,1.0,1.0,0.0022,0.019,1.3217,0.00113222747908,0.0162816037769,18,17,14,8,24399459
118,0.14,50,1.0,1.0,0.0022,0.024,1.0169,0.00090488298511,0.0130167127394,16,17,11,8,52502733
119,0.14,50,1.0,1.0,0.0022,0.029,1.269,0.00107639635108,0.0154707977236,18,24,13,9,87396369
120,0.14,50,1.0,1.0,0.0022,0.034,1.6722,0.00136306416744,0.0195952021887,31,28,19,9,19655551
121,0.15,50,1.0,1.0,0.001,0.009,4.1655,0.00317478546493,0.0435719831451,56,72,46,22,77609409
122,0.15,50,1.0,1.0,0.001,0.014,2.4697,0.00203110499567,0.0282119126746,39,24,24,16,25777996
123,0.15,50,1.0,1.0,0.001,0.019,3.7822,0.00287229281805,0.040328564997,67,58,36,24,49275889
124,0.15,50,1.0,1.0,0.001,0.024,4.9458,0.00368618522681,0.0503993456632,85,73,59,31,1113882
125,0.15,50,1.0,1.0,0.001,0.029,5.0896,0.00375103272573,0.0523124413865,87,77,51,30,84532221
126,0.15,50,1.0,1.0,0.001,0.034,4.8314,0.00353424222378,0.0491127003731,92,75,47,28,7229225
127,0.15,50,1.0,1.0,0.0014,0.009,3.1709,0.00244999239373,0.0344098255189,43,54,33,20,98546363
128,0.15,50,1.0,1.0,0.0014,0.014,2.3556,0.00186840568206,0.0265982668576,43,43,22,11,97648714
129,0.15,50,1.0,1.0,0.0014,0.019,1.9495,0.00162059182699,0.0230629413881,30,22,17,11,48613173
130,0.15,50,1.0,1.0,0.0014,0.024,2.0791,0.0017177047391,0.0244955209616,38,29,22,11,5314982
131,0.15,50,1.0,1.0,0.0014,0.029,2.9249,0.00225868259582,0.0320118676208,54,45,30,19,27327241
132,0.15,50,1.0,1.0,0.0014,0.034,2.0314,0.00164930347057,0.0234879195569,34,25,17,15,19983805
133,0.15,50,1.0,1.0,0.0018,0.009,1.8544,0.00148851298865,0.0214252807361,28,24,18,13,15905658
134,0.15,50,1.0,1.0,0.0018,0.014,2.1723,0.00173624767558,0.0246996802527,37,32,21,15,50418100
135,0.15,50,1.0,1.0,0.0018,0.019,1.874,0.00157748037933,0.0223258830335,29,29,21,14,94424017
136,0.15,50,1.0,1.0,0.0018,0.024,2.2271,0.00177120480535,0.0252122112076,31,36,27,12,56942501
137,0.15,50,1.0,1.0,0.0018,0.029,1.4291,0.00120549570295,0.0172166142341,20,17,12,12,72114369
138,0.15,50,1.0,1.0,0.0018,0.034,1.4088,0.0011593230874,0.0166698496524,21,19,10,10,66534047
139,0.15,50,1.0,1.0,0.0022,0.009,1.5995,0.00134641498302,0.0192426595462,22,24,18,11,70074806
140,0.15,50,1.0,1.0,0.0022,0.014,0.979,0.000885119854045,0.0126876015878,12,12,11,4,25087834
141,0.15,50,1.0,1.0,0.0022,0.019,1.9419,0.0016072563945,0.0227325471029,22,32,29,12,23797944
142,0.15,50,1.0,1.0,0.0022,0.024,1.3468,0.00113212443484,0.016263633955,19,20,13,8,95307828
143,0.15,50,1.0,1.0,0.0022,0.029,1.6972,0.00134747759532,0.0193617058838,24,24,20,12,20157307
144,0.15,50,1.0,1.0,0.0022,0.034,2.0631,0.00161916064304,0.0232198907028,32,30,20,16,27648534
