index;primary_length;k0;axfold;radfold;delta;length;surface;Jv;i3;i4;i6;i8;seed
82;0.12;50;1;2;0.0018;1.7719;0.001414693;0.038805303;19;33;25;13;53678
83;0.12;50;1;4;0.0018;1.5289;0.00116971;0.062472571;23;21;13;8;22746471
84;0.12;50;1;8;0.0018;1.7167;0.001284494;0.127123115;30;30;19;8;62946739
85;0.12;50;2;0.25;0.0018;1.2191;0.000978889;0.003640003;24;19;14;6;76797257
86;0.12;50;2;0.5;0.0018;1.7224;0.001371565;0.010119243;26;25;25;11;75285760
87;0.12;50;2;1;0.0018;1.7376;0.00138668;0.020314899;33;32;19;6;47532211
88;0.12;50;2;2;0.0018;1.7006;0.001361561;0.038890901;30;23;20;16;56880257
89;0.12;50;2;4;0.0018;1.4085;0.001165231;0.064741062;27;19;16;7;8974150
90;0.12;50;2;8;0.0018;2.0306;0.001550978;0.160535951;38;42;23;11;51452733
91;0.12;50;3;0.25;0.0018;1.511;0.001212981;0.004515256;32;22;18;9;26911588
92;0.12;50;3;0.5;0.0018;2.2154;0.001673196;0.01239129;32;36;25;16;47883019
93;0.12;50;3;1;0.0018;1.6906;0.001288081;0.018998382;28;26;18;7;13502409
94;0.12;50;3;2;0.0018;2.0351;0.001575001;0.045609809;29;31;31;12;63213723
95;0.12;50;3;4;0.0018;2.5047;0.001776603;0.101256314;45;37;32;12;80112955
96;0.12;50;3;8;0.0018;2.6931;0.001909376;0.202462341;37;46;32;18;88309020
97;0.12;50;4;0.25;0.0018;1.5558;0.001232513;0.004591665;27;27;14;8;7335795
98;0.12;50;4;0.5;0.0018;1.494;0.001188612;0.008841346;28;23;14;6;23770614
99;0.12;50;4;1;0.0018;2.1856;0.001595128;0.023613399;39;35;25;11;63607630
100;0.12;50;4;2;0.0018;2.9163;0.00206059;0.060387083;50;44;33;18;56321401
101;0.12;50;4;4;0.0018;1.8653;0.0014416;0.082796167;33;27;22;9;73717220
102;0.12;50;4;8;0.0018;1.3159;0.00106217;0.119187143;21;22;18;5;79512918
103;0.12;50;5;0.25;0.0018;2.4973;0.001839937;0.006855419;40;39;29;17;7823584
104;0.12;50;5;0.5;0.0018;2.6403;0.001873924;0.013938239;45;41;32;12;22181283
105;0.12;50;5;1;0.0018;1.6351;0.001298308;0.019224867;24;27;18;8;25650245
106;0.12;50;5;2;0.0018;1.3633;0.001109376;0.03268966;25;18;13;8;13214685
107;0.12;50;5;4;0.0018;1.7125;0.001366429;0.078994338;34;24;25;10;12066259
108;0.12;50;5;8;0.0018;1.3929;0.001140324;0.127830544;21;25;14;6;64038813
109;0.12;50;0.0625;0.25;0.0019;1.7286;0.001273744;0.004203783;28;29;17;10;38376102
110;0.12;50;0.0625;0.5;0.0019;1.1503;0.000927157;0.005649918;26;19;12;3;70156130
111;0.12;50;0.0625;1;0.0019;2.2539;0.001700707;0.015633074;34;39;27;14;75540184
112;0.12;50;0.0625;2;0.0019;1.6912;0.001343196;0.01935086;25;28;21;8;14465706
113;0.12;50;0.0625;4;0.0019;1.5501;0.001230283;0.024790528;30;24;20;9;27967044
114;0.12;50;0.0625;8;0.0019;1.7226;0.001354023;0.035998753;28;34;22;7;65154048
115;0.12;50;0.125;0.25;0.0019;2.3426;0.001617934;0.005697611;30;35;34;12;58544970
116;0.12;50;0.125;0.5;0.0019;1.3321;0.001082498;0.00720107;26;21;15;4;98905294
117;0.12;50;0.125;1;0.0019;1.7303;0.001339999;0.015540555;26;27;24;11;47012668
118;0.12;50;0.125;2;0.0019;1.8753;0.001416618;0.028083776;28;32;22;9;29881658
119;0.12;50;0.125;4;0.0019;1.5991;0.001243711;0.039510857;33;27;15;7;80887848
120;0.12;50;0.125;8;0.0019;2.091;0.001594269;0.05390531;31;38;29;13;49380515
