index,primary_length,axfold,radfold,length,surface,Jv,i0,seed
914,0.1,1.0,1.0,0.9877,0.000932744790178,0.115173751638,20,4545610
915,0.105,1.0,1.0,1.4899,0.00138786817242,0.168177379866,24,74723693
916,0.11,1.0,1.0,1.0518,0.00103200665219,0.131279413717,21,67683190
917,0.115,1.0,1.0,1.4282,0.00135554947782,0.166069456568,23,81339930
918,0.12,1.0,1.0,1.6083,0.00151024049477,0.182875362176,34,97885483
919,0.125,1.0,1.0,1.313,0.00127171871679,0.152588316233,20,6581818
920,0.13,1.0,1.0,2.4451,0.00220535581982,0.236638985868,41,80464421
921,0.135,1.0,1.0,1.3142,0.00126921750639,0.151492178567,20,25282534
922,0.14,1.0,1.0,1.4497,0.00134341136911,0.159921607727,25,56641490
923,0.145,1.0,1.0,2.569,0.00225443041246,0.258859183964,43,23621933
924,0.15,1.0,1.0,2.2114,0.00192423243696,0.223992261577,38,14724747
925,0.1,1.0,1.0,1.0046,0.000971004462681,0.119841998477,15,72458995
926,0.105,1.0,1.0,1.1242,0.00103775501277,0.133840069001,16,65966800
927,0.11,1.0,1.0,1.0965,0.00105741685888,0.125910646324,18,56306556
928,0.115,1.0,1.0,1.9928,0.00175411212857,0.217409474288,31,23288266
929,0.12,1.0,1.0,1.3259,0.001213241463,0.15250922335,18,27294863
930,0.125,1.0,1.0,2.5927,0.00222757356519,0.253810577563,47,4486106
931,0.13,1.0,1.0,2.0745,0.0019150537588,0.21830823564,38,49773434
932,0.135,1.0,1.0,1.9662,0.00181143327627,0.208132420375,24,91328678
933,0.14,1.0,1.0,1.2809,0.00125008244252,0.150513116316,16,38283765
934,0.145,1.0,1.0,1.8579,0.0017415994415,0.186634853661,31,74501086
935,0.15,1.0,1.0,3.5425,0.0030795921916,0.314310649581,63,39950912
936,0.1,1.0,1.0,1.2105,0.00111184512754,0.142885805134,22,18088161
937,0.105,1.0,1.0,0.6759,0.000687782596465,0.0897293625721,11,69105685
938,0.11,1.0,1.0,0.6215,0.000636280583139,0.083413764129,8,17660602
