,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
4230,82134629,0.1,0.00768773461014,327.6558,0.000236013844561,0.7834,1.0,1.0,0.002,0.015,-0.00371876099132,5,7,14,14,12,2
4231,5722033,0.1,0.0122629711899,327.6558,0.00028596766217799997,1.0217,1.0,1.0,0.002,0.02,-0.00561210181241,8,20,16,11,10,5
4232,25062349,0.1,0.0137672671117,327.6558,0.000381340590628,1.3406,1.0,1.0,0.002,0.025,0.00104641456118,10,23,24,22,13,6
4233,66940894,0.1,0.012869186975,327.6558,0.00035223398602,1.2202,1.0,1.0,0.002,0.03,-0.00047985250945499995,7,20,22,17,17,4
4234,53642085,0.1,0.0101367557873,327.6558,0.00034825930582599996,1.2168,1.0,1.0,0.002,0.035,0.00011607474580199999,5,17,20,19,13,5
4284,37037278,0.11,0.0101948339563,327.6558,0.00025442967220099997,0.8242,1.0,1.0,0.002,0.005,-0.0036265832589699996,8,14,17,11,9,6
4285,23361719,0.11,0.00841076534798,327.6558,0.000220689532588,0.6817,1.0,1.0,0.002,0.01,-0.00435750998209,6,7,13,8,11,4
4286,52812528,0.11,0.00744658147185,327.6558,0.000187956147757,0.5653,1.0,1.0,0.002,0.015,-0.00608805933206,3,8,11,8,7,5
4287,29590321,0.11,0.0143727026386,327.6558,0.000426750992966,1.4857,1.0,1.0,0.002,0.02,0.0013442989786099997,8,17,26,26,20,13
4288,35438244,0.11,0.011019632574,327.6558,0.000341050607323,1.169,1.0,1.0,0.002,0.025,-0.0007397636581539999,6,14,19,18,14,8
4289,14274862,0.11,0.0122528936463,327.6558,0.00033462123114300004,1.1807,1.0,1.0,0.002,0.03,-0.00300010631639,7,19,17,19,9,7
4290,27400327,0.11,0.00766189525462,327.6558,0.00018989268830000002,0.5793,1.0,1.0,0.002,0.035,-0.00600659334181,6,10,9,7,5,6
4340,44949723,0.12,0.0092324749055,327.6558,0.000270210080595,0.8694,1.0,1.0,0.002,0.005,-0.0038500842300100003,4,12,14,14,11,6
4341,36565230,0.12,0.012434423334700002,327.6558,0.000329891858713,1.1018,1.0,1.0,0.002,0.01,-0.00243394295226,7,16,26,18,12,6
4342,59656524,0.12,0.010053804604,327.6558,0.000258754011657,0.8072,1.0,1.0,0.002,0.015,-0.00398975045614,6,11,14,9,13,3
4343,43809419,0.12,0.0165111792459,327.6558,0.00055071597713,2.0166,1.0,1.0,0.002,0.02,0.0012128870733599999,10,22,26,33,27,13
4344,55117023,0.12,0.015970917857600003,327.6558,0.000497073804075,1.8511,1.0,1.0,0.002,0.025,-0.0008336431720739999,8,25,29,26,21,13
4345,64175641,0.12,0.011835544065600001,327.6558,0.000315357028974,1.0581,1.0,1.0,0.002,0.03,-0.0035139145509299995,8,14,18,17,10,6
4346,38041051,0.12,0.0119065736222,327.6558,0.00035570726802599997,1.166,1.0,1.0,0.002,0.035,-0.00034970878947000007,6,14,19,16,12,10
4396,37517843,0.13,0.0095948743047,327.6558,0.000259359208065,0.826,1.0,1.0,0.002,0.005,-0.00583627288648,5,9,15,16,5,5
4397,20852721,0.13,0.013310365166,327.6558,0.000358093219681,1.2025,1.0,1.0,0.002,0.01,-0.00319278120264,8,13,18,19,14,6
4398,90238698,0.13,0.0114887526051,327.6558,0.000321325426697,1.0777,1.0,1.0,0.002,0.015,-0.00467800972368,7,13,21,19,11,5
4399,57359419,0.13,0.0116346323487,327.6558,0.000343538685873,1.1365,1.0,1.0,0.002,0.02,-0.00307527692125,7,13,18,16,14,7
4400,90353852,0.13,0.0138593504274,327.6558,0.000473895573299,1.7139,1.0,1.0,0.002,0.025,-0.00143162378364,5,18,24,25,19,10
4401,65982581,0.13,0.0105819606724,327.6558,0.00029518366874,0.9501,1.0,1.0,0.002,0.03,-0.00397009706969,7,13,15,15,9,7
4402,63405105,0.13,0.0151037174594,327.6558,0.0004990284213419999,1.7748,1.0,1.0,0.002,0.035,-0.00019115440625599997,10,18,30,29,16,11
4452,45911002,0.14,0.0137077521973,327.6558,0.00042604107470800004,1.4643,1.0,1.0,0.002,0.005,-0.00210119860947,6,22,23,22,15,10
