,seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
7613,96028352,0.16,0.00982519316994,327.6558,0.00036771500691699997,1.2690000000000001,1.0,1.0,0.00275,0.025,-0.0037007319016500004,3,8,14,17,17,13
7614,44410824,0.16,0.00968386467844,327.6558,0.00033492651226800003,1.09,1.0,1.0,0.00275,0.03,-0.00302521081805,3,9,11,17,12,11
7615,67839102,0.16,0.0115151430161,327.6558,0.000451519799536,1.5631,1.0,1.0,0.00275,0.035,0.000104295558315,4,13,17,21,19,10
7896,39531006,0.16,0.0214614148815,327.6558,0.00103496590681,3.8984,1.0,1.0,0.001,0.005,-0.00383813940359,21,47,70,61,38,19
7897,50088247,0.16,0.021732632919099996,327.6558,0.001126702203,4.2712,1.0,1.0,0.001,0.01,-0.0026374706250300002,20,49,67,73,53,22
7898,9257927,0.16,0.0277449848552,327.6558,0.0013261575663299997,5.1723,1.0,1.0,0.001,0.015,-0.00326618395418,27,57,81,84,51,35
7899,91298252,0.16,0.021461790295599997,327.6558,0.0012731573149,4.8973,1.0,1.0,0.001,0.02,-0.00181168395418,17,55,69,75,55,33
7900,88299688,0.16,0.021672901748099997,327.6558,0.00140381161062,5.481,1.0,1.0,0.001,0.025,-0.00156708426792,16,50,80,89,66,38
7901,21752291,0.16,0.017884035356400003,327.6558,0.000941007668946,3.4819,1.0,1.0,0.001,0.03,-0.0035750068575500006,16,42,50,55,40,20
7902,13933144,0.16,0.0187573873596,327.6558,0.0007954506315710001,2.8289,1.0,1.0,0.001,0.035,-0.00428498813612,19,35,54,44,28,14
7903,64342727,0.16,0.0178103049698,327.6558,0.000970930453042,3.637,1.0,1.0,0.00125,0.005,-0.00217535211307,15,32,42,55,46,30
7904,14430440,0.16,0.0156245747354,327.6558,0.000784336305081,2.8381,1.0,1.0,0.00125,0.01,-0.0033613006361199998,13,28,42,53,30,17
7905,33004160,0.16,0.0157576579172,327.6558,0.0007476981279260002,2.6666,1.0,1.0,0.00125,0.015,-0.0030873245681,12,35,38,43,25,15
7906,1260379,0.16,0.0169841798455,327.6558,0.000700744870586,2.4846,1.0,1.0,0.00125,0.02,-0.00398665116517,17,25,42,40,21,15
7907,92189500,0.16,0.0243353536545,327.6558,0.0011800799105,4.5203,1.0,1.0,0.00125,0.025,-0.0007672204161210001,22,63,76,59,57,33
7908,43792802,0.16,0.0249262081259,327.6558,0.0014441061241,5.8834,1.0,1.0,0.00125,0.03,-0.00115687351696,19,50,69,86,67,57
7909,73903086,0.16,0.0161166406004,327.6558,0.000777356754346,2.7452,1.0,1.0,0.00125,0.035,-0.00234714438612,13,43,39,36,31,19
7910,83069270,0.16,0.023010235190499998,327.6558,0.0007835207413449999,2.9719,1.0,1.0,0.0015,0.005,-0.00382921217219,24,44,49,45,28,15
7911,14139633,0.16,0.0124784259681,327.6558,0.00046440687649500006,1.5669,1.0,1.0,0.0015,0.01,-0.00549422189315,7,21,30,25,15,8
7912,59161812,0.16,0.0163320999208,327.6558,0.00067527766912,2.4225,1.0,1.0,0.0015,0.015,-0.00290465801279,11,24,27,31,35,15
7913,91461966,0.16,0.016200524637200002,327.6558,0.0005714726305889999,2.0333,1.0,1.0,0.0015,0.02,-0.00500866180443,11,23,27,25,21,17
7914,2863008,0.16,0.0165224542383,327.6558,0.0007802846558669999,2.8067,1.0,1.0,0.0015,0.025,7.14817406743e-05,11,29,43,44,27,17
7915,92278384,0.16,0.0169298177176,327.6558,0.000652260545499,2.3525,1.0,1.0,0.0015,0.03,-0.00376909099912,12,34,33,30,24,16
