seed,primary_length,Jv,k0,surface,length,axfold,radfold,delta,nude_length,integral_diff,0.01,0.02,0.03,0.045,0.06,0.08
20447744,0.18,0.00811040159044,327.66,0.000346469226332,1.1134,1,1,0.00275,0.01,-0.00355204090189,4,10,9,12,9,11
81890381,0.18,0.00706752790255,327.66,0.000252422320159,0.7449,1,1,0.00275,0.015,-0.00649250701817,4,7,7,7,7,6
86378420,0.18,0.00899996779492,327.66,0.0003903446465,1.2827,1,1,0.00275,0.02,-0.00245386567239,3,13,14,15,19,7
40991030,0.18,0.0111864869868,327.66,0.000428481256536,1.4246,1,1,0.00275,0.025,-0.00182302533958,6,12,15,18,16,10
62750698,0.18,0.0130206636704,327.66,0.000537185835005,1.8803,1,1,0.00275,0.03,-0.000676791733412,7,17,30,25,23,13
21241775,0.18,0.0090920717141,327.66,0.000387555289215,1.2446,1,1,0.00275,0.035,-0.00196845840885,5,11,15,13,10,9
55515129,0.17,0.0158544493939,327.66,0.000668077899023,2.2696,1,1,0.001,0.005,-0.00555245320784,14,35,37,27,20,12
28169997,0.17,0.0182514756984,327.66,0.00112502788491,4.2918,1,1,0.001,0.01,-0.00416533213679,14,43,67,67,48,27
96106259,0.17,0.0243958739216,327.66,0.0014457630252,5.6648,1,1,0.001,0.015,-0.001921445656,24,67,97,84,64,34
88511493,0.17,0.0214191722163,327.66,0.00112782247609,4.1501,1,1,0.001,0.02,-0.00225597569691,25,53,61,62,45,23
62779178,0.17,0.019391426008,327.66,0.00101232338041,3.6973,1,1,0.001,0.025,-0.00345929843626,21,49,56,64,39,18
45138740,0.17,0.0187283887679,327.66,0.00120552916719,4.5443,1,1,0.001,0.03,-0.00281690085605,18,45,62,77,65,31
19731249,0.17,0.0228235675313,327.66,0.00105963192675,3.9641,1,1,0.001,0.035,-0.00403517467803,22,48,59,66,46,21
85869773,0.17,0.0157468289762,327.66,0.00118193077353,4.6344,1,1,0.00125,0.005,-0.00287062891656,9,34,55,73,60,38
2355988,0.17,0.0139985750578,327.66,0.000619525533323,2.2384,1,1,0.00125,0.01,-0.0071569280636,10,28,31,33,21,16
19796856,0.17,0.0138524727551,327.66,0.000651483378309,2.276,1,1,0.00125,0.015,-0.00536569863261,11,31,44,33,19,13
74193330,0.17,0.0157287609594,327.66,0.000943306799547,3.4515,1,1,0.00125,0.02,-0.00216369259731,11,38,51,53,44,24
96009565,0.17,0.0184697826097,327.66,0.00074506077346,2.7455,1,1,0.00125,0.025,-0.00568854605472,11,34,43,43,27,17
90618766,0.17,0.0128916063,327.66,0.000621702525085,2.1334,1,1,0.00125,0.03,-0.00506622200907,9,24,30,38,25,10
26450360,0.17,0.0136917418428,327.66,0.000668933794526,2.3235,1,1,0.00125,0.035,-0.00473773456245,12,25,33,33,18,22
39570933,0.17,0.0153064134033,327.66,0.000566060081137,1.9593,1,1,0.0015,0.005,-0.0048644452662,13,22,29,26,19,15
70359707,0.17,0.0202376116468,327.66,0.0010652623645,4.1216,1,1,0.0015,0.01,-0.0012686212122,15,45,59,59,47,20
45987018,0.17,0.0138513658943,327.66,0.000592072531141,2.0854,1,1,0.0015,0.015,-0.00431209124875,11,21,33,32,19,16
2551242,0.17,0.0154808568734,327.66,0.000628171001527,2.1815,1,1,0.0015,0.02,-0.00335138619195,15,27,33,32,24,11
95585034,0.17,0.0159511251447,327.66,0.000717197372463,2.5708,1,1,0.0015,0.025,-0.00305753780125,12,25,25,37,35,20
99192753,0.17,0.0109753649658,327.66,0.000541402285886,1.846,1,1,0.0015,0.03,-0.00480171570575,8,18,18,32,20,13
95511257,0.17,0.00959168423902,327.66,0.000481745137854,1.5844,1,1,0.0015,0.035,-0.00509143612568,5,12,21,20,20,12
85185083,0.17,0.016954856827,327.66,0.000645026601158,2.2866,1,1,0.00175,0.005,-0.00257883462013,14,30,36,26,21,17
37986794,0.17,0.0159203415833,327.66,0.000614002236447,2.176,1,1,0.00175,0.01,-0.00308403221514,10,24,25,30,25,16
31193847,0.17,0.0167386941557,327.66,0.000732557617973,2.6051,1,1,0.00175,0.015,-0.000372061342372,11,25,34,42,25,22
56417648,0.17,0.013954481756,327.66,0.000654124955075,2.3525,1,1,0.00175,0.02,-0.00279328898397,11,21,29,32,32,15
88788907,0.17,0.0162882852524,327.66,0.000666647814632,2.4342,1,1,0.00175,0.025,-0.00322600196488,13,25,33,25,33,16
