seed,primary_length (m),k (10-8 m/s/MPa),_length (m),surface (m2),Jv (uL/s)
46333858,0.07,32.76558,0.3058,0.00010324624344537113,0.00505319881581439
42102831,0.07,32.76558,0.9417000000000001,0.00025919964029130543,0.0084373893476355
55341689,0.07,32.76558,0.43320000000000003,0.00014242347463195437,0.005497946917937319
50793397,0.07,32.76558,0.9691000000000001,0.00027787386392679153,0.009255469788013795
60949891,0.07,32.76558,0.6367,0.0001916189934634417,0.007634875452246459
71667313,0.07,32.76558,0.4368,0.00013267919669832844,0.0064020337520051375
81516928,0.07,32.76558,0.8008000000000001,0.00022688311967259536,0.007804839019161774
9418034,0.07,32.76558,0.4927,0.00015289126135372945,0.00660809543676595
86247167,0.07,32.76558,0.8811,0.000242100510681331,0.00903825283324822
87791365,0.07,32.76558,0.5508000000000001,0.00016638239118160379,0.007603514863160891
75348102,0.07,32.76558,0.304,0.00010205476301557056,0.004664522565863581
45778924,0.07,32.76558,0.2212,7.732923502661048e-05,0.00394630813897565
39257748,0.07,32.76558,0.3682,0.00012121081271639357,0.005740000983708369
67918496,0.07,32.76558,0.6826,0.00019692061956195212,0.006517161052281441
13597884,0.07,32.76558,0.8167000000000001,0.00023098402905888542,0.00849712743930151
66385136,0.07,32.76558,0.23900000000000002,8.281866553393411e-05,0.0043260302369231615
52305312,0.08000000000000002,32.76558,1.4758,0.00041121028809131444,0.010506270607925005
83455817,0.08000000000000002,32.76558,2.0595,0.0005502502046035794,0.014139556459189316
70264479,0.08000000000000002,32.76558,2.3679,0.000606209145161731,0.01594597990394741
81676568,0.08000000000000002,32.76558,1.1038000000000001,0.00032532209803931794,0.010821939491899014
89432506,0.08000000000000002,32.76558,1.2351,0.0003555955529907923,0.011723849853511454
58650063,0.08000000000000002,32.76558,1.3648,0.00038516397171894825,0.01133449811584625
97750495,0.08000000000000002,32.76558,1.7741,0.00046366344372577244,0.013250584363416083
808487,0.08000000000000002,32.76558,1.8502,0.0005014672397192794,0.012651582961181794
86669142,0.08000000000000002,32.76558,1.8503,0.0004888701820278463,0.0136942080837036
90580577,0.08000000000000002,32.76558,1.5956000000000001,0.0004050259812713185,0.012153863838306798
51791350,0.08000000000000002,32.76558,0.9417000000000001,0.0002784725949378791,0.00843394018013842
62119548,0.08000000000000002,32.76558,1.1979,0.00033389952562956594,0.009695923980056543
78712229,0.08000000000000002,32.76558,2.1128,0.0005330676405758373,0.016341557472567617
3553929,0.08000000000000002,32.76558,1.2863,0.00036261204885516465,0.009510745864596232
43637787,0.08000000000000002,32.76558,1.4742000000000002,0.0004054779433568292,0.009977207820189023
56748394,0.08000000000000002,32.76558,1.5659,0.00041048370054240773,0.010626326107259757
597545,0.08000000000000002,32.76558,1.6471,0.00043920915456335834,0.011726788039143652
