seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
56540180,0.06,32.76558,2.0,0.3578,0.000115470243292,0.00758039690479
20640395,0.07,32.76558,0.05,0.4833,0.000150551403145,0.000934453928328
20640395,0.07,32.76558,0.25,0.4833,0.000150551403145,0.00274231656653
20640395,0.07,32.76558,0.5,0.4833,0.000150551403145,0.00419304573808
20640395,0.07,32.76558,0.75,0.4833,0.000150551403145,0.00526727366507
20640395,0.07,32.76558,1.0,0.4833,0.000150551403145,0.00612045913417
20640395,0.07,32.76558,1.25,0.4833,0.000150551403145,0.00682285877023
20640395,0.07,32.76558,1.5,0.4833,0.000150551403145,0.00741460389599
20640395,0.07,32.76558,1.75,0.4833,0.000150551403145,0.0079215185709
20640395,0.07,32.76558,2.0,0.4833,0.000150551403145,0.00836143884395
57393482,0.07,32.76558,0.05,0.4072,0.000132044971973,0.0008398347352
57393482,0.07,32.76558,0.25,0.4072,0.000132044971973,0.00247593519508
57393482,0.07,32.76558,0.5,0.4072,0.000132044971973,0.00381253674108
57393482,0.07,32.76558,0.75,0.4072,0.000132044971973,0.0048064273539
57393482,0.07,32.76558,1.0,0.4072,0.000132044971973,0.00559232489321
57393482,0.07,32.76558,1.25,0.4072,0.000132044971973,0.00623454547674
57393482,0.07,32.76558,1.5,0.4072,0.000132044971973,0.00677115989594
57393482,0.07,32.76558,1.75,0.4072,0.000132044971973,0.00722711138067
57393482,0.07,32.76558,2.0,0.4072,0.000132044971973,0.00761974857491
44422489,0.07,32.76558,0.05,0.4836,0.000148297750239,0.000854248999607
44422489,0.07,32.76558,0.25,0.4836,0.000148297750239,0.00253992286278
44422489,0.07,32.76558,0.5,0.4836,0.000148297750239,0.00390775558273
44422489,0.07,32.76558,0.75,0.4836,0.000148297750239,0.00493615698188
44422489,0.07,32.76558,1.0,0.4836,0.000148297750239,0.00576287310068
44422489,0.07,32.76558,1.25,0.4836,0.000148297750239,0.00644980952328
44422489,0.07,32.76558,1.5,0.4836,0.000148297750239,0.00703274251489
44422489,0.07,32.76558,1.75,0.4836,0.000148297750239,0.00753503623783
44422489,0.07,32.76558,2.0,0.4836,0.000148297750239,0.00797305281735
95505754,0.07,32.76558,0.05,0.455,0.000141856982645,0.000864596901153
95505754,0.07,32.76558,0.25,0.455,0.000141856982645,0.00254705299278
95505754,0.07,32.76558,0.5,0.455,0.000141856982645,0.00390184406859
95505754,0.07,32.76558,0.75,0.455,0.000141856982645,0.00491117513686
95505754,0.07,32.76558,1.0,0.455,0.000141856982645,0.00571561812639
95505754,0.07,32.76558,1.25,0.455,0.000141856982645,0.0063792944511
95505754,0.07,32.76558,1.5,0.455,0.000141856982645,0.00693918912823
95505754,0.07,32.76558,1.75,0.455,0.000141856982645,0.00741927202946
95505754,0.07,32.76558,2.0,0.455,0.000141856982645,0.00783618407882
70087985,0.07,32.76558,0.05,0.3703,0.000122984178937,0.000942641800671
70087985,0.07,32.76558,0.25,0.3703,0.000122984178937,0.00274143384204
70087985,0.07,32.76558,0.5,0.3703,0.000122984178937,0.00407853778372
70087985,0.07,32.76558,0.75,0.3703,0.000122984178937,0.00501625401008
70087985,0.07,32.76558,1.0,0.3703,0.000122984178937,0.0057340974247
70087985,0.07,32.76558,1.25,0.3703,0.000122984178937,0.0063092170839
70087985,0.07,32.76558,1.5,0.3703,0.000122984178937,0.00678356348279
70087985,0.07,32.76558,1.75,0.3703,0.000122984178937,0.00718299298054
70087985,0.07,32.76558,2.0,0.3703,0.000122984178937,0.00752472330508
35615948,0.07,32.76558,0.05,0.5479,0.000169304135181,0.00106475630907
35615948,0.07,32.76558,0.25,0.5479,0.000169304135181,0.00342575714161
35615948,0.07,32.76558,0.5,0.5479,0.000169304135181,0.00531023966455
35615948,0.07,32.76558,0.75,0.5479,0.000169304135181,0.00666246513331
35615948,0.07,32.76558,1.0,0.5479,0.000169304135181,0.00770253435638
35615948,0.07,32.76558,1.25,0.5479,0.000169304135181,0.00853497324232
35615948,0.07,32.76558,1.5,0.5479,0.000169304135181,0.00921955635686
35615948,0.07,32.76558,1.75,0.5479,0.000169304135181,0.0097940367618
35615948,0.07,32.76558,2.0,0.5479,0.000169304135181,0.0102838348291
75024537,0.07,32.76558,0.05,0.4952,0.00015964606255,0.000862243864333
75024537,0.07,32.76558,0.25,0.4952,0.00015964606255,0.00262543516548
75024537,0.07,32.76558,0.5,0.4952,0.00015964606255,0.00407433888902
75024537,0.07,32.76558,0.75,0.4952,0.00015964606255,0.00516684117892
75024537,0.07,32.76558,1.0,0.4952,0.00015964606255,0.00604707028592
75024537,0.07,32.76558,1.25,0.4952,0.00015964606255,0.00678034122202
