seed,primary_length (m),k (10-8 m/s/MPa),ax,length (m),surface (m2),Jv (uL/s)
26602451,0.08,24.574185,1.0,0.6948,0.000205718398461,0.00562781954384
26602451,0.08,32.76558,1.0,0.6948,0.000205718398461,0.00639178969567
26602451,0.08,40.956975,1.0,0.6948,0.000205718398461,0.00701620981719
26602451,0.08,49.14837,1.0,0.6948,0.000205718398461,0.00754993150045
26602451,0.08,57.339765,1.0,0.6948,0.000205718398461,0.00801970744201
26602451,0.08,65.53116,1.0,0.6948,0.000205718398461,0.00844172662843
31843049,0.08,1.638279,1.0,0.7142,0.000207460977074,0.000947254113196
31843049,0.08,8.191395,1.0,0.7142,0.000207460977074,0.00374433333168
31843049,0.08,16.38279,1.0,0.7142,0.000207460977074,0.00605067322076
31843049,0.08,24.574185,1.0,0.7142,0.000207460977074,0.00770817228197
31843049,0.08,32.76558,1.0,0.7142,0.000207460977074,0.00900022680904
31843049,0.08,40.956975,1.0,0.7142,0.000207460977074,0.0100585535794
31843049,0.08,49.14837,1.0,0.7142,0.000207460977074,0.010954619889
31843049,0.08,57.339765,1.0,0.7142,0.000207460977074,0.0117314372473
31843049,0.08,65.53116,1.0,0.7142,0.000207460977074,0.0124168841239
12056243,0.08,1.638279,1.0,0.4756,0.000153859751537,0.000702614067047
12056243,0.08,8.191395,1.0,0.4756,0.000153859751537,0.00278921275532
12056243,0.08,16.38279,1.0,0.4756,0.000153859751537,0.00454325880962
12056243,0.08,24.574185,1.0,0.4756,0.000153859751537,0.00583342296809
12056243,0.08,32.76558,1.0,0.4756,0.000153859751537,0.00685925830805
12056243,0.08,40.956975,1.0,0.4756,0.000153859751537,0.00771322185986
12056243,0.08,49.14837,1.0,0.4756,0.000153859751537,0.00844592373994
12056243,0.08,57.339765,1.0,0.4756,0.000153859751537,0.00908824551374
12056243,0.08,65.53116,1.0,0.4756,0.000153859751537,0.00966050568954
4313698,0.08,1.638279,1.0,1.0355,0.000286890234843,0.00128291950392
4313698,0.08,8.191395,1.0,1.0355,0.000286890234843,0.00477559492207
4313698,0.08,16.38279,1.0,1.0355,0.000286890234843,0.0073605218694
4313698,0.08,24.574185,1.0,1.0355,0.000286890234843,0.00907850786535
4313698,0.08,32.76558,1.0,1.0355,0.000286890234843,0.0103488082777
4313698,0.08,40.956975,1.0,1.0355,0.000286890234843,0.0113507267933
4313698,0.08,49.14837,1.0,1.0355,0.000286890234843,0.0121756515413
4313698,0.08,57.339765,1.0,1.0355,0.000286890234843,0.0128758823189
4313698,0.08,65.53116,1.0,1.0355,0.000286890234843,0.0134839147581
41718271,0.09,1.638279,1.0,0.7989,0.000231933079067,0.00105073905703
41718271,0.09,8.191395,1.0,0.7989,0.000231933079067,0.00409285099737
41718271,0.09,16.38279,1.0,0.7989,0.000231933079067,0.00659005756805
41718271,0.09,24.574185,1.0,0.7989,0.000231933079067,0.00840581178466
41718271,0.09,32.76558,1.0,0.7989,0.000231933079067,0.00984074390145
41718271,0.09,40.956975,1.0,0.7989,0.000231933079067,0.0110301276779
41718271,0.09,49.14837,1.0,0.7989,0.000231933079067,0.0120467356418
41718271,0.09,57.339765,1.0,0.7989,0.000231933079067,0.0129345146806
41718271,0.09,65.53116,1.0,0.7989,0.000231933079067,0.0137222215699
58572594,0.09,1.638279,1.0,0.5345,0.000166058681475,0.000737672613456
58572594,0.09,8.191395,1.0,0.5345,0.000166058681475,0.00271511473145
58572594,0.09,16.38279,1.0,0.5345,0.000166058681475,0.00418751864914
58572594,0.09,24.574185,1.0,0.5345,0.000166058681475,0.00519801553568
58572594,0.09,32.76558,1.0,0.5345,0.000166058681475,0.00597575074438
58572594,0.09,40.956975,1.0,0.5345,0.000166058681475,0.00661477429527
58572594,0.09,49.14837,1.0,0.5345,0.000166058681475,0.0071618810276
58572594,0.09,57.339765,1.0,0.5345,0.000166058681475,0.00764349660052
58572594,0.09,65.53116,1.0,0.5345,0.000166058681475,0.00807594608932
51367753,0.09,1.638279,1.0,1.3333,0.000356367354341,0.00153423831618
51367753,0.09,8.191395,1.0,1.3333,0.000356367354341,0.00526997061329
51367753,0.09,16.38279,1.0,1.3333,0.000356367354341,0.00781886238265
51367753,0.09,24.574185,1.0,1.3333,0.000356367354341,0.00949540939745
51367753,0.09,32.76558,1.0,1.3333,0.000356367354341,0.0107514078854
51367753,0.09,40.956975,1.0,1.3333,0.000356367354341,0.0117604150256
51367753,0.09,49.14837,1.0,1.3333,0.000356367354341,0.0126066131937
51367753,0.09,57.339765,1.0,1.3333,0.000356367354341,0.0133371245602
51367753,0.09,65.53116,1.0,1.3333,0.000356367354341,0.0139810034984
65029383,0.09,1.638279,1.0,0.7933,0.000234875142888,0.00105769595729
65029383,0.09,8.191395,1.0,0.7933,0.000234875142888,0.00405377810978
65029383,0.09,16.38279,1.0,0.7933,0.000234875142888,0.00644740981992
65029383,0.09,24.574185,1.0,0.7933,0.000234875142888,0.00815332127651
65029383,0.09,32.76558,1.0,0.7933,0.000234875142888,0.0094816789231
65029383,0.09,40.956975,1.0,0.7933,0.000234875142888,0.0105702025451
65029383,0.09,49.14837,1.0,0.7933,0.000234875142888,0.0114923340542
65029383,0.09,57.339765,1.0,0.7933,0.000234875142888,0.0122920575401
65029383,0.09,65.53116,1.0,0.7933,0.000234875142888,0.0129978963353
81629849,0.09,1.638279,1.0,0.7107,0.000212778876622,0.000950972704226
81629849,0.09,8.191395,1.0,0.7107,0.000212778876622,0.00355956281021
81629849,0.09,16.38279,1.0,0.7107,0.000212778876622,0.00555300388308
81629849,0.09,24.574185,1.0,0.7107,0.000212778876622,0.00693510618736
