,ax,1 mm,20 mm,40 mm,65 mm,100 mm,120 mm,125 mm,130 mm,135 mm,140 mm,145 mm,150 mm,155 mm,base
1869,0.75,0.501235383263,0.512120426543,0.528319376262,0.57811630223,0.665189819891,0.709437728291,0.727205115031,0.739020208579,0.75888210974,0.777215653096,0.797305531942,0.812349832651,0.830939165479,0.842140652689
1870,0.5,0.160097531183,0.170665295131,0.186963929224,0.240779119025,0.352147818535,0.418456666153,0.445936299014,0.465526617156,0.497559031532,0.528126194363,0.563640894826,0.592471136682,0.630136970712,0.653373554819
1871,0.25,0.0134394170284,0.0162071816317,0.0209434149207,0.0400083645361,0.100015303129,0.151130286427,0.173829981082,0.19241629396,0.22182963247,0.251426061088,0.290414752176,0.326498740069,0.379471741877,0.413757494601
1872,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1873,0.75,0.485217539766,0.495754732663,0.51114471127,0.55248140575,0.645583912296,0.696091320996,0.718306545507,0.724749722795,0.740410180156,0.750491127304,0.7758320616,0.794265796099,0.817452834556,0.823556303294
1874,0.5,0.147789274623,0.157544591627,0.17231078136,0.21472011952,0.327097357855,0.399991452063,0.432708739203,0.443515314603,0.468946393504,0.486662037322,0.529627547035,0.562598003474,0.604545452683,0.617212735132
1875,0.25,0.0114098090646,0.0137595884927,0.0177060064175,0.0313826274936,0.0859214773411,0.138278722042,0.163122227524,0.173784407411,0.197297681152,0.216366325867,0.260481232368,0.297485722906,0.346991790495,0.365854345992
1876,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1877,0.75,0.489162427106,0.499785288874,0.515300390188,0.553865983538,0.638048782697,0.696888859909,0.713508015636,0.722516869185,0.734429433231,0.746717789198,0.778495425966,0.794279563919,0.825742380397,0.833328903614
1878,0.5,0.150865371589,0.160823736488,0.175897270793,0.215853847212,0.317772551949,0.400705245067,0.424423572927,0.438588480906,0.459177329048,0.480830483534,0.534457154669,0.564187105047,0.6204499284,0.636159585649
1879,0.25,0.0118363547722,0.014273978644,0.0183679299426,0.0313611392359,0.0806833860983,0.137431695346,0.154921036781,0.167492385646,0.188540855561,0.211678950786,0.264885999146,0.301343459568,0.366830664,0.39006942976
1880,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1881,0.75,0.50157450042,0.512466908114,0.528375691698,0.565026669282,0.664689944116,0.71032361327,0.734718992147,0.746398775729,0.756775577612,0.769734716648,0.791888045854,0.807857977788,0.838123366715,0.845511800207
1882,0.5,0.160017372159,0.170579844947,0.186567790513,0.225883847994,0.350562976673,0.419025348322,0.456619876423,0.476322055622,0.494045958295,0.51678582864,0.555132622288,0.586025187344,0.641642228532,0.657389811392
1883,0.25,0.0133686708369,0.0161218657007,0.0207458135619,0.0344007667029,0.098496147556,0.150839420338,0.181506378855,0.2007004466,0.21846713292,0.242548496384,0.282877825903,0.322541569833,0.389350066767,0.413841421434
1884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1885,0.75,0.510297590428,0.521379432498,0.537092420733,0.585609292917,0.662728134627,0.707160947885,0.726981467598,0.741095442432,0.760815792418,0.776032582733,0.793770653686,0.808349641681,0.834416491364,0.839421822734
1886,0.5,0.166951790663,0.177971992545,0.194160673054,0.247767115354,0.347866163368,0.414019785735,0.443995153444,0.465696451427,0.499335229276,0.525598638514,0.557874929003,0.585600404699,0.635755300616,0.646526235901
1887,0.25,0.0144604659197,0.0174385092109,0.0222881279277,0.0417749571458,0.0964410587557,0.146242698886,0.169917568659,0.188219117029,0.22149825735,0.248510780054,0.285425338746,0.319870702085,0.383790000962,0.401096206077
1888,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1889,0.75,0.478067213475,0.48844912681,0.503169683288,0.547959446068,0.636645530797,0.682276833062,0.697456346267,0.705789663169,0.725507714141,0.734961614002,0.756538944492,0.77482323383,0.808469610007,0.82142114771
1890,0.5,0.143346788521,0.152808864624,0.166708657804,0.211873270533,0.318618249201,0.382837868658,0.404218605841,0.41776210104,0.447971555979,0.464471141771,0.500373319041,0.531333505622,0.59028319575,0.614543635517
1891,0.25,0.0108747899897,0.0131143855569,0.0167614730967,0.030996886868,0.0833379824672,0.128140300006,0.143815393354,0.156406499078,0.182136214061,0.199834885011,0.235767573742,0.267768316491,0.333701376599,0.364231713699
1892,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
